NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
CENTRE SPORTIF DE LA GRANGE AUX BELLES,17 RUE BOY ZELENSKI,75010,PW0077,1,48.8774306165,2.36839034022
GYMNASE MARIE PARADIS,11 SQUARE ALBAN SATRAGNE,75010,PW0097,1,48.8754539407,2.35524842818
SQUARE FREDERIC LEMAITRE,35 QUAI DE JEMMAPES,75010,PW0197,1,48.8788386316,2.36711233025
JARDIN VILLEMIN,8 RUE DES RECOLLETS,75010,PW0164,2,48.8744988283,2.36190493854
BIBLIOTHEQUE FRANCOIS VILLON,81 BOULEVARD DE LA VILLETTE,75010,PW0116,2,48.8772054342,2.37079691969
SQUARE DES RECOLLETS,88 QUAI DE VALMY,75010,PW0210,1,48.8732040203,2.36361161798
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  10,206 QUAI DE VALMY,75010,PW0028,1,48.8817841102,2.36872006696
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  11,8 RUE DU GENERAL RENAULT,75011,PW0029,2,48.8612659255,2.37850247568
SQUARE JEAN AICARD,5 AVENUE JEAN AICARD,75011,PW0152,1,48.8649086244,2.38127231697
SQUARE ORILLON JULES VERNES,19B RUE DE L ORILLON,75011,PW0056,1,48.8698926807,2.37511728428
SQUARE MAURICE GARDETTE,2 RUE DU GENERAL BLAISE RUE LACHARRIERE,75011,PW0205,1,48.8610851934,2.37907251705
GYMNASE JAPY,2 RUE JAPY,75011,PW0096,1,48.8558714122,2.38245353583
PROMENADE RICHARD LENOIR,67 BOULEVARD RICHARD LENOIR,75011,PW0206,1,48.8605127941,2.37222141682
CENTRE SPORTIF GEORGES RIGAL,115 BOULEVARD DE CHARONNE,75011,PW0080,1,48.8566034181,2.39386877243
CENTRE SPORTIF COUR DES LIONS,9-11 RUE ALPHONSE BAUDIN,75011,PW0076,1,48.8606741278,2.37034386692
SQUARE COLBERT,159 RUE DE CHARONNE,75011,PW0160,1,48.8555919367,2.38959554225
MAIRIE DU 11 EME,2 PLACE LEON BLUM,75011,PW0011,1,48.8580799315,2.38100340048
MEDIATHEQUE VIOLETTE LEDUC,18 RUE FAIDHERBE,75011,PW0049,4,48.8515955528,2.38396007097
SQUARE LA PETITE ROQUETTE,4 RUE SERVAN - SQUARE DE LA ROQUETTE,75011,PW0068,1,48.8591243675,2.38418763308
SQUARE DES JARDINIERS,2 PASSAGE DUMAS,75011,PW0203,1,48.8520900215,2.39025008686
SQUARE BREGUET SABIN,25 BOULEVARD RICHARD LENOIR,75011,PW0177,2,48.8570974891,2.3704796611
BIBLIOTHEQUE PARMENTIER,20 AVENUE PARMENTIER,75011,PW0052,1,48.860096294,2.3790349615
CENTRE PARIS ANIM'MAURICE RAVEL,6 RUE MAURICE RAVEL,75012,,1,48.8418039259,2.41166835606
BIBLIOTHEQUE SAINT ELOI,23 RUE DU COLONEL ROZANOFF,75012,PW0141,2,48.8455291572,2.38711098608
PISCINE JEAN BOITEUX,13 RUE ANTOINE JULIEN HENARD,75012,PW0106,1,48.8421472127,2.38939778901
BIBLIOTHEQUE HELENE BERR,70 RUE DE PICPUS,75012,PW0051,4,48.8425411215,2.39747688968
CENTRE SPORTIF PAUL VALERY,15 RUE DE LA NOUVELLE CALEDONIE,75012,PW0087,1,48.8380025291,2.41042916157
PARC DE BERCY (MAISON DU LAC),1 COUR CHAMONARD,75012,PW0058-1,1,48.8350786407,2.38453222624
